S360-0000, 20
S360-0001, 26
S360-0002, -94
S360-0004, -100
S360-0010, -316
S360-0017, 4
S360-0018, 1
S360-0019, 2
S360-0021, 3
S360-0026, -1
S360-0027, 2
S360-0028, 3
S360-0029, 2
S360-0030, 2
S360-0031, -2
S360-0032, -4
S360-0033, 2
S360-0035, 1
S360-0036, 1
S360-0037, 1
S360-0039, -7
S360-0040, 21
S360-0041, -8
S360-0042, -5
S360-0045, -2
S360-0047, 1
S360-0053, 2
S360-0054, 1
S360-0055, 1
S360-0056, 1
S360-0057, 1
S360-0058, 1
S360-0063, 1
S360-0064, 1
S360-0073, 2
S360-0078, 1
S360-0080, 2
S360-0099, -28
S360-0100, -27
S360-0101, -24
S360-0102, -26
S360-0105, -1
S360-0107, -2
S360-0109, -2
S360-0110, 4
S360-0112, 7
S360-0114, 2
S360-0116, -11
S360-0119, -34
S360-0121, -2
S360-0124, -4
S360-0126, 27
S360-0129, -19
S360-0130, 8
S360-0131, 1
S360-0133, -2
S360-0134, -9
S360-0135, -3
S360-0136, -2
S360-0137, -2
S360-0138, -1
S360-0139, -6
S360-0140, -19
S360-0141, 1
S360-0146, 1
S360-0149, -4
S360-0150, 4
S360-0151, -2
S360-0152, 37
S360-0154, 2
S360-0155, 1
S360-0156, -4
S360-0157, 1
S360-0158, 1
S360-0159, 3
S360-0160, 2
S360-0161, -1
S360-0162, -2
S360-0166, -1
S360-0168, -3
S360-0170, -2
S360-0171, -1
S360-0172, -3
S360-0173, -2
S360-0174, -2
S360-0175, -3
S360-0176, -1
S360-0177, -5
S360-0178, -1
S360-0179, -1
S360-0180, -1
S360-0182, -1
S360-0184, -3
S360-0185, -2
S360-0187, -1
S360-0188, 38
S360-0189, -89
S360-0190, 471
S360-0191, 118
S360-0196, -2
S360-0197, -1
S360-0198, 4
S360-0199, -1
S360-0200, -1
S360-0201, 1
S360-0202, 1
S360-0203, -1
S360-0213, 1
S360-0217, 4
S360-0218, -26.019999999999996
S360-0219, -7
S360-0222, -5
S360-0223, 1
S360-0224, 3
S360-0227, -3
S360-0257, 1
S360-0278, 3
S360-0280, -2
S360-0281, -1369
S360-0282, -14
S360-0301, -1
S360-0316, 448
S360-0327, -23
S360-0328, -22
S360-0329, 1
S360-0330, 2
S360-0331, -1
S360-0332, 3
S360-0334, 2
S360-0372, -103
S360-0373, 45
S360-0375, -177
S360-0379, 1
S360-0387, 2
S360-0388, -1
S360-0389, -2
S360-0390, -1
S360-0391, 1
S360-0396, 4
S360-0399, 1
S360-0400, -1
S360-0401, 3
S360-0402, -1
S360-0410, 20
S360-0413, 16
S360-0418, 1
S360-0419, -1
S360-0420, 44
S360-0421, -59
S360-0422, -14
S360-0423, 71
S360-0424, 10
S360-0425, 1
S360-0427, 3
S360-0429, -450
S360-0430, 7
S360-0432, 2
S360-0433, -4
S360-0434, -3
S360-0435, -1
S360-0437, -2
S360-0438, -185
S360-0444, -2
S360-0451, -1
S360-0465, -1
S360-0466, -2
S360-0483, 1.01
S360-0487, -2
S360-0489, -1
S360-0491, 1
S360-0499, -4
S360-0505, -96
S360-0506, -240
S360-0507, -240
S360-0511, -2
S360-0523, -256
